date,Temp,Pres,jO3_O2_O1D_CAFS,O3_M,H2O_M,CO_M,CH4_M,HO2_ATHOS,Altitude,[OH]_measured,[OH]_calc
2016-07-29 11:27:20-04:00,239.24400000000003,274.982,1.44237066666667e-05,9.353585699999998e-08,0.000301211,8.595989999999999e-08,1.838535e-06,10.162,10420.59,4655817.334264769,282029.69916219637
2016-07-29 11:27:50-04:00,239.269,274.819,1.449461e-05,9.08516e-08,0.0003276969999999,8.71473e-08,1.838535e-06,10.343,10425.46,4710832.5291023785,295968.4183600988
2016-07-29 11:28:20-04:00,239.34,275.008,1.45688866666667e-05,9.10077e-08,0.000343597,8.7372e-08,1.838535e-06,10.525,10421.14,4654389.9104178995,311632.57244140067
2016-07-29 11:37:20-04:00,239.268,274.933,1.618723e-05,8.13511e-08,0.00035672,8.64193e-08,1.838535e-06,10.922,10417.67,4487990.514789916,324407.79823249707
2016-07-29 11:37:50-04:00,239.263,274.845,1.6443003333333302e-05,8.16061e-08,0.000363761,8.6100186e-08,1.838535e-06,10.521,10420.87,4486647.7656295635,338155.01891869144
2016-07-29 11:38:20-04:00,239.301,274.918,1.628514e-05,8.11016e-08,0.000364301,8.56235e-08,1.838535e-06,10.122,10417.5,4487126.788171515,334842.487918796
2016-07-29 11:38:50-04:00,239.281,274.849,1.63210366666667e-05,8.272089999999997e-08,0.000375188,8.60101e-08,1.838535e-06,12.528,10418.59,4636198.850311764,351181.5792263781
2016-07-29 11:39:20-04:00,239.386,274.91900000000004,1.665694e-05,8.17026e-08,0.0003503719999999,8.57275e-08,1.838535e-06,11.447,10416.38,3686639.2910752236,331411.09468722716
2016-07-29 11:39:50-04:00,239.62,276.013,1.74005233333333e-05,8.32154e-08,0.000380492,8.548030000000001e-08,1.838535e-06,11.237,10392.61,3697695.233636833,383263.47464755
2016-07-29 11:41:50-04:00,248.887,327.128,1.73180233333333e-05,9.640830000000004e-08,0.000983363,8.065039999999999e-08,1.851343298e-06,13.581,9173.7,4847906.12444283,1120312.0237243515
2016-07-29 11:42:20-04:00,251.401,341.525,1.7341476666666698e-05,9.42625e-08,0.001275912,8.010910000000001e-08,1.869773333e-06,14.592,8854.95,5010651.468590308,1399260.0575198682
2016-07-29 11:42:50-04:00,253.787,356.675,1.743667e-05,9.51289e-08,0.001533086,7.978269999999999e-08,1.86758e-06,16.421,8531.56,6110481.898462951,1677903.5641641608
2016-07-29 11:43:20-04:00,256.154,372.204,1.746683e-05,9.61578e-08,0.002167173,8.22856e-08,1.871768333e-06,17.432000000000002,8211.22,5443664.493947425,2291395.5800595074
2016-07-29 11:43:50-04:00,258.16900000000004,388.014,1.7653110000000006e-05,9.73965e-08,0.001794492,7.67449e-08,1.8659025e-06,15.219,7895.22,5630601.087558587,2019086.3273992713
2016-07-29 11:44:20-04:00,260.335,404.603,1.77923466666667e-05,9.44267e-08,0.00091643,6.88794e-08,1.848934444e-06,13.014,7574.48,3907931.3637974258,1078496.5432015683
2016-07-29 11:45:20-04:00,262.963,438.532,1.7773393333333305e-05,7.1182e-08,0.003338072,8.330869999999999e-08,1.8539025e-06,19.36,6954.03,3794523.1397793484,2462579.95614847
