,Temp,Pres,UTC_Start_dt,lat,lon,Altitude,jO3_O2_O1D_CAFS,O3_M,H2O_M,OH_ATHOS,HO2_ATHOS,CO_M,CH4_M,NOX_M,NO_CL,HNO3_M,date,kO1DH2O,kO1DM,M,O3,H2O,O1D,source,P_atm,kOHCO,kOHCH4,CO,CH4,[OH]_calc,[OH]_measured,residual,date_only
0,249.265,343.334,2016-07-29 10:56:10-04:00,33.01171,241.102,8804.58,9.15041975e-06,8.64057e-08,0.000446756,0.3,6.444,7.2339667e-08,1.85312e-06,9.9485e-11,0.063649,3.272e-10,2016-07-29 10:56:10-04:00,2.0736030445110245e-10,3.342654515794462e-11,9.981054444995826e+18,862419996057.9758,4459095959628555.0,0.023587937260417788,43620.676829230484,0.338870658,1.8049835922e-13,1.9796256338572093e-15,722026154859.8678,18496091613110.664,261295.73452998293,2994316.3334987476,2733020.5989687648,2016-07-29
1,248.771,337.478,2016-07-29 10:56:40-04:00,32.96985,241.0476,8931.1,9.30287975e-06,7.601130000000002e-08,0.000331923,0.3,5.367000000000001,6.90065e-08,1.851343298e-06,9.6935e-11,0.063389,3.1044e-10,2016-07-29 10:56:40-04:00,2.0745944391472178e-10,3.345585006675467e-11,9.830296753332136e+18,747213635606.5552,3262901589256263.0,0.021092620049513674,28556.022150119454,0.333090786,1.7997817073999997e-13,1.9518297574310757e-15,678354372908.8141,18199254011632.61,181180.58963159221,2949089.0259996406,2767908.436368048,2016-07-29
2,248.851,331.741,2016-07-29 10:57:10-04:00,32.92798,240.99323,9057.14,9.397737e-06,8.291030000000002e-08,0.000158212,0.3,4.633,7.10876e-08,1.851343298e-06,9.5692e-11,0.074402,3.4919e-10,2016-07-29 10:57:10-04:00,2.0744335901091366e-10,3.345109469217117e-11,9.660078881961785e+18,800920038127.1165,1528340400072938.0,0.023269955155663463,14755.202410489963,0.327428367,1.7946855302999998e-13,1.9563119376785915e-15,686711823529.3466,17884122296271.285,93251.55251402307,2898023.6645885357,2804772.1120745125,2016-07-29
3,246.16,315.391,2016-07-29 10:58:40-04:00,32.80281,240.8303,9425.14,9.86377675e-06,8.13257e-08,0.000169148,0.276,6.063,6.80404e-08,1.851343298e-06,9.6454e-11,0.073041,3.3087e-10,2016-07-29 10:58:40-04:00,2.0799085392270851e-10,3.361312996945994e-11,9.284376133350287e+18,755058388108.0054,1570433654203934.2,0.0238400835012617,15574.051246051706,0.31129091700000006,1.7801618253e-13,1.809564253677223e-15,631712665863.6069,17188567530589.207,108485.44974214693,2562487.81280468,2454002.363062533,2016-07-29
4,245.201,309.998,2016-07-29 10:59:10-04:00,32.761140000000005,240.77659,9550.39,1.002861075e-05,8.14852e-08,0.000206944,0.276,6.233,6.74833e-08,1.851343298e-06,1.14477e-10,0.069717,2.892e-10,2016-07-29 10:59:10-04:00,2.0818922639157085e-10,3.367192763647736e-11,9.161309777858081e+18,746511159510.7213,1895878090669062.8,0.024237967743949193,19133.519265463274,0.305968026,1.7753712234e-13,1.7592441304399442e-15,618235416132.1302,16960729458139.426,137061.75314342717,2528521.4986888305,2391459.7455454036,2016-07-29
5,244.427,306.12,2016-07-29 10:59:40-04:00,32.71985,240.72277000000005,9641.91,1.00912825e-05,8.14756e-08,0.000200075,0.313,5.529,6.74885e-08,1.851343298e-06,9.997e-11,0.0784049999999999,3.0603e-10,2016-07-29 10:59:40-04:00,2.083506055017959e-10,3.3719794913163774e-11,9.075351207375688e+18,739419684831.6586,1815750892815690.8,0.024352998753917016,18426.102194552106,0.30214044,1.771926396e-13,1.7193759975495133e-15,612481839958.9741,16801590634771.188,134090.39565054627,2840584.92790859,2706494.532258044,2016-07-29
6,244.156,303.651,2016-07-29 11:00:10-04:00,32.67818,240.66888,9700.72,1.02098725e-05,7.505569999999999e-08,0.000212429,0.313,4.83,6.706860000000002e-08,1.851343298e-06,1.9376e-10,0.092653,3.106e-10,2016-07-29 11:00:10-04:00,2.0840738060010386e-10,3.373664254229865e-11,9.012146190211959e+18,676412940808.6917,1914441203040536.2,0.022684676923806258,18101.63159576372,0.299703537,1.7697331833e-13,1.7055730183503326e-15,604432027972.85,16684576449845.143,133665.25786308854,2820801.757536343,2687136.4996732543,2016-07-29
7,242.718,296.709,2016-07-29 11:01:40-04:00,32.55127,240.50561,9867.89,1.04429475e-05,7.63961e-08,0.000212967,0.353,4.976,6.80144e-08,1.838535e-06,1.37669e-10,0.093844,3.3952e-10,2016-07-29 11:01:40-04:00,2.0871102832754361e-10,3.382681289831577e-11,8.858284994896563e+18,676738426298.6173,1886522380508136.2,0.023553904611719308,18548.13581276378,0.29285178300000003,1.7635666046999998e-13,1.633671355843539e-15,602490938956.8928,16286267003092.152,139606.93959340817,3126974.6031984864,2987367.663605078,2016-07-29
8,242.141,294.265,2016-07-29 11:02:10-04:00,32.5083,240.45093,9927.49,1.0522482500000003e-05,7.616839999999999e-08,0.000222084,0.353,5.287000000000001,6.823930000000001e-08,1.838535e-06,1.5254e-10,0.095898,3.1415e-10,2016-07-29 11:02:10-04:00,2.0883400707434649e-10,3.386336343762203e-11,8.806253680557064e+18,670758252842.1426,1955728042392835.0,0.023635704836625,19306.708444249973,0.290439555,1.7613955995e-13,1.6054492132253732e-15,600932586783.6377,16190605610582.982,146439.11741040862,3108607.549236643,2962168.4318262343,2016-07-29
9,241.609,292.028,2016-07-29 11:02:40-04:00,32.46546,240.39578,9981.61,1.056252e-05,7.50466e-08,0.000251084,0.407,5.4670000000000005,6.9681333e-08,1.838535e-06,1.4810399999999994e-10,0.103824,3.3205e-10,2016-07-29 11:02:40-04:00,2.089479798559652e-10,3.389725333052935e-11,8.758551740772206e+18,657299529069.0354,2199132205280048.5,0.023348684099947083,21457.63829848008,0.288231636,1.7594084724e-13,1.579743782942998e-15,610307560446.4778,16102903924720.627,161558.53867283068,3564730.5584942875,3403172.0198214566,2016-07-29
